review_id,hotel_id,rating,publish_decision,rejection_reasons,sentiment,summary
R69,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,Excellent hotel with nice location. Tariff was 5000 INR. My number is 9123456789
R70,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R71,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R72,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Check www.fakehotel.com"
R73,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R74,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Cost was ₹4500"
R75,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night"
R76,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Price is too high for this hotel"
R77,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R78,HOTEL_001,1,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R79,HOTEL_001,4,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_POSITIVE,Amazing service and clean bathroom. Check www.fakehotel.com
R80,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R81,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Tariff was 5000 INR. Check www.fakehotel.com"
R82,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Tariff was 5000 INR"
R83,HOTEL_001,4,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Call me at 9876543210. Check ww..."
R84,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R85,HOTEL_001,5,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_POSITIVE,"Very nice hotel, will visit again. Email me at test@gmail.com"
R86,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. Tariff was 5000 INR
R87,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom. Price is too high for this hotel
R88,HOTEL_001,5,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R89,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. Tariff was 5000 INR"
R90,HOTEL_001,1,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Call me at 9876543210
R91,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R92,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Very nice hotel, will visit again. I paid 6000 per night"
R93,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night"
R94,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R95,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R96,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Tariff was 5000 INR"
R97,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R98,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R99,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average. Price is too high for this hotel"
R100,HOTEL_001,1,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Call me at 9876543210"
R101,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. Cost was ₹4500"
R102,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R103,HOTEL_001,3,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""EMAIL_MENTIONED""]",SENTIMENT_NEUTRAL,Rooms were fine but service was slow. Call me at 9876543210. Contact: demo@yahoo...
R104,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED"", ""EMAIL_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. Tariff was 5000 INR. My number is 91...
R105,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Average stay, decent location"
R106,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Not good, rooms were smelly. I paid 6000 per night. My number is 9123456789"
R107,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R108,HOTEL_001,1,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R109,HOTEL_001,2,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Check www.fakehotel.com"
R110,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R111,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R112,HOTEL_001,2,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. More details at http://spamlink.com"
R113,HOTEL_001,2,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Contact: demo@yahoo.com
R114,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R115,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Tariff was 5000 INR. My number is 9123456789"
R116,HOTEL_001,1,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. More details at http://spamlink.com
R117,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R118,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Cost was ₹4500"
R119,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Check www.fakehotel.com"
R120,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R121,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,Amazing service and clean bathroom. I paid 6000 per night
R122,HOTEL_001,3,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Email me at test@gmail.com"
R123,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R124,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Tariff was 5000 INR
R125,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R126,HOTEL_001,2,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R127,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R128,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Price is too high for this hotel. Check www.fakeh..."
R129,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R130,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R131,HOTEL_001,2,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""EMAIL_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Call me at 9876543210. Email me at test@gmai..."
R132,HOTEL_001,4,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. My number is 9123456789
R133,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R134,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R135,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Tariff was 5000 INR. Call me at 9876543210"
R136,HOTEL_001,4,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. Call me at 9876543210
R137,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R138,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Tariff was 5000 INR"
R139,HOTEL_001,3,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_NEUTRAL,Rooms were fine but service was slow. Email me at test@gmail.com
R140,HOTEL_001,1,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R141,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R142,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R143,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R144,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R145,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R146,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night"
R147,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R148,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R149,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Price is too high for this hotel
R150,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R151,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Tariff was 5000 INR"
R152,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,Excellent hotel with nice location. Tariff was 5000 INR
R153,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R154,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. More details at http://spamlink.com"
R155,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R156,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED"", ""EMAIL_MENTIONED""]",SENTIMENT_POSITIVE,"Not good, rooms were smelly. Tariff was 5000 INR. Contact: demo@yahoo.com"
R157,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R158,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R159,HOTEL_001,3,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. My number is 9123456789. More details at http://s..."
R160,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R161,HOTEL_001,2,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Contact: demo@yahoo.com"
R162,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R163,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R164,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,Excellent hotel with nice location. Cost was ₹4500
R165,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Price is too high for this hotel"
R166,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R167,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R168,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Very nice hotel, will visit again. Tariff was 5000 INR"
R169,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R170,HOTEL_001,1,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Contact: demo@yahoo.com
R171,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Cost was ₹4500. Check www.fakeh..."
R172,HOTEL_001,1,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Not good, rooms were smelly. Price is too high for this hotel. Call me at 987654..."
R173,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R174,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R175,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R176,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. More details at http://spamlink.com"
R177,HOTEL_001,1,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Call me at 9876543210"
R178,HOTEL_001,5,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,Amazing service and clean bathroom. Call me at 9876543210
R179,HOTEL_001,5,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R180,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Tariff was 5000 INR. Call me at..."
R181,HOTEL_001,2,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly. Price is too high for this hotel"
R182,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R183,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night"
R184,HOTEL_001,1,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Call me at 9876543210"
R185,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R186,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. Check www.fakehotel.com"
R187,HOTEL_001,4,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R188,HOTEL_001,5,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. Call me at 9876543210
R189,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. I paid 6000 per night. Check www.fakehotel.com"
R190,HOTEL_001,5,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R191,HOTEL_001,2,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Price is too high for this hotel. More detai..."
R192,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Cost was ₹4500"
R193,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R194,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,Rooms were fine but service was slow. More details at http://spamlink.com
R195,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R196,HOTEL_001,5,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. My number is 9123456789
R197,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R198,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R199,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R200,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R201,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R202,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R203,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. I paid 6000 per night"
R204,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Cost was ₹4500
R205,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
